,name,Status,"Population
Census
1987-05-25","Population
Estimate
1995-12-31","Population
Estimate
2001-12-31","Population
Census
2011-05-09","Population
Estimate
2014-12-31",Change2001-2011
243,Bochum,City with County Rights,386271,400395,390087,362286,361876,-27801
244,Bonn,City with County Rights,276653,291431,306016,305765,313958,-251
245,Borken,County,307778,342688,362834,363755,365191,921
246,Bottrop,City with County Rights,114640,120642,120780,117311,116017,-3469
247,Coesfeld,County,176193,202218,216805,215269,215996,-1536
248,Dortmund,City with County Rights,584089,598840,589240,571143,580511,-18097
249,Duisburg,City with County Rights,525378,535250,512030,488468,485465,-23562
250,Düren,County,233840,258565,271074,258760,259073,-12314
251,Düsseldorf,City with County Rights,563531,571030,570765,586291,604527,15526
252,Ennepe-Ruhr-Kreis,County,339385,352069,349988,326049,322916,-23939
253,Essen,City with County Rights,623427,614861,591889,566201,573784,-25688
254,Euskirchen,County,162820,182177,190581,187940,188158,-2641
255,Gelsenkirchen,City with County Rights,287508,291164,276740,258766,257651,-17974
256,Gütersloh,County,287883,329043,347954,350420,354463,2466
257,Hagen,City with County Rights,209363,212003,202060,187944,186716,-14116
258,Hamm,City with County Rights,171170,183408,183805,176037,176580,-7768
259,Heinsberg,County,212745,238627,252275,248161,249310,-4114
260,Herford,County,227548,250768,255393,250704,249219,-4689
261,Herne,City with County Rights,174238,179897,174018,155160,154608,-18858
262,Hochsauerlandkreis,County,260265,283857,281480,266509,261561,-14971
263,Höxter,County,140653,154401,155518,145678,142770,-9840
264,Kleve,County,261032,288071,301861,300989,304963,-872
265,Köln,City with County Rights,928309,965697,967940,1005775,1046680,37835
266,Krefeld,City with County Rights,232261,249606,239559,222247,222500,-17312
267,Leverkusen,City with County Rights,154692,162252,160829,158984,161540,-1845
268,Lippe,County,318404,360471,364990,348681,345127,-16309
269,Märkischer Kreis,County,421321,458221,457079,423819,413820,-33260
270,Mettmann,County,479749,504698,509023,477778,477760,-31245
271,Minden-Lübbecke,County,282588,316139,323055,312169,309216,-10886
272,Mönchengladbach,City with County Rights,249587,266702,262963,255188,256853,-7775
273,Mülheim an der Ruhr,City with County Rights,176423,176530,172332,166865,167108,-5467
274,Münster,City with County Rights,246186,265061,267197,289576,302178,22379
275,Oberbergischer Kreis,County,245391,280914,289518,273011,270618,-16507
276,Oberhausen,City with County Rights,220286,224397,221619,210216,209292,-11403
277,Olpe,County,125142,138115,141705,136491,134759,-5214
