,lt_x,lt_y,rb_x,rb_y,target_norm
9158,18891035.42,20365532.82,19204351.58,20546292.18,9.09769390001e+11
9159,18891075.42,20365532.82,19204391.58,20546292.18,9.09769390001e+11
9160,18891135.42,20365522.82,19204451.58,20546282.18,9.09769390001e+11
9161,18891065.42,20365552.82,19204381.58,20546312.18,9.09769390001e+11
9162,18891065.42,20365472.82,19204381.58,20546232.18,9.09769390001e+11
9163,18891085.42,20365552.82,19204401.58,20546312.18,9.09769390001e+11
9164,18891075.42,20365572.82,19204391.58,20546332.18,9.09769390001e+11
9165,18891045.42,20365562.82,19204361.58,20546322.18,9.09769390001e+11
9166,18891035.42,20365572.82,19204351.58,20546332.18,9.09769390001e+11
9167,18891045.42,20365572.82,19204361.58,20546332.18,9.09769390001e+11
9168,18891035.42,20365562.82,19204351.58,20546322.18,9.09769390001e+11
9169,18891045.42,20365492.82,19204361.58,20546252.18,9.09769390001e+11
9170,18891125.42,20365512.82,19204441.58,20546272.18,9.09769390001e+11
9171,18891105.42,20365542.82,19204421.58,20546302.18,9.09769390001e+11
9172,18891095.42,20365482.82,19204411.58,20546242.18,9.09769390001e+11
9173,18891105.42,20365562.82,19204421.58,20546322.18,9.09769390001e+11
9174,18891065.42,20365522.82,19204381.58,20546282.18,9.09769390001e+11
9175,18891055.42,20365492.82,19204371.58,20546252.18,9.09769390001e+11
9176,18891085.42,20365562.82,19204401.58,20546322.18,9.09769390001e+11
9177,18891055.42,20365522.82,19204371.58,20546282.18,9.09769390001e+11
9178,18891125.42,20365522.82,19204441.58,20546282.18,9.09769390001e+11
9179,18891095.42,20365472.82,19204411.58,20546232.18,9.09769390001e+11
9180,18891105.42,20365572.82,19204421.58,20546332.18,9.09769390001e+11
9181,18891095.42,20365532.82,19204411.58,20546292.18,9.09769390001e+11
9182,18891135.42,20365512.82,19204451.58,20546272.18,9.09769390001e+11
9183,18891045.42,20365512.82,19204361.58,20546272.18,9.09769390001e+11
9184,18891085.42,20365572.82,19204401.58,20546332.18,9.09769390001e+11
9185,18891085.42,20365492.82,19204401.58,20546252.18,9.09769390001e+11
9186,18891035.42,20365512.82,19204351.58,20546272.18,9.09769390001e+11
9187,18891105.42,20365502.82,19204421.58,20546262.18,9.09769390001e+11
